,WINDS,CURRENTS,SHIP P,SHIP V,F SAIL,AIR MASS,F SHIP,WATER MASS
27,[2.5 0. ],[0.9 0. ],"[70.00703235244704, 90.0073476040199]","(0.4737389086179341, 0.5087450218946057)","(0.015891023681552093, 0.01613512498308918)",163.421825831088,"(-0.008294404097558508, -0.00488492118627871)",38305.22958913605
28,[2.5 0. ],[0.9 0. ],"[70.00751368797525, 90.00786759924559]","(0.4813355282019277, 0.5199952256914162)","(0.015802366923028735, 0.015948785624528786)",163.1360189445401,"(-0.008874076230040332, -0.005225323681676709)",39108.869027234934
29,[2.5 0. ],[0.9 0. ],"[70.00800195179414, 90.00839831793321]","(0.4882638188949161, 0.5307186876342683)","(0.015720919484426225, 0.01577579819820892)",162.88158643786898,"(-0.009417813357986237, -0.005544639378879396)",39875.62234973245
30,[2.5 0. ],[0.9 0. ],"[70.00849651871917, 90.00893926777967]","(0.4945669250213561, 0.5409498464535979)","(0.01564655443929323, 0.015615559615995441)",162.65807034380467,"(-0.009927523567420717, -0.005844001896799411)",40607.88903056429
31,[2.5 0. ],[0.9 0. ],"[70.00899680467506, 90.00948998918383]","(0.5002859558932286, 0.5507214041727939)","(0.015579066522937345, 0.015467414828672877)",162.4646364660522,"(-0.010405711972813654, -0.006124888520495524)",41307.938001422015
32,[2.5 0. ],[0.9 0. ],"[70.00950226398551, 90.01005005311431]","(0.5054593104433522, 0.5600639304809713)","(0.015518205672209552, 0.015330696158826627)",162.30022781094723,"(-0.010853655407302801, -0.0063880553606619015)",41977.9087989725
33,[2.5 0. ],[0.9 0. ],"[70.01001238784622, 90.0106190596856]","(0.510123860708259, 0.569006571279136)","(0.01546367839360188, 0.01520471797907996)",162.16357656354526,"(-0.01127443405457379, -0.006635308990268837)",42619.813681399355
34,[2.5 0. ],[1. 0.],"[70.01052670095126, 90.01119663566587]","(0.5143131050472871, 0.5775759802679471)","(0.015415188919589607, 0.015088828800721384)",162.05338856246627,"(-0.011667750711603872, -0.006866481886982289)",43235.54220517673
35,[2.5 0. ],[1. 0.],"[70.01104476149452, 90.01178243399305]","(0.5180605432552728, 0.5857983271816862)","(0.015372401845453978, 0.014982353258237338)",161.96818533178418,"(-0.012039009434588169, -0.007084733810723839)",43826.86451185646
36,[2.5 0. ],[1. 0.],"[70.01156615543019, 90.01237612993968]","(0.5213939356661387, 0.5936959466291998)","(0.015335033427008139, 0.014884716036658481)",161.90670378227185,"(-0.012383037228980197, -0.0072870484587416896)",44395.43889296462
