,WINDS,CURRENTS,SHIP P,SHIP V,F SAIL,F SHIP,NO SAIL
30,[1.7 0. ],[0.1 0. ],"(5.0027433235184375, 15.006126406615726)","(0.10106367541030813, 0.39821889117053516)","(0.011783003411047334, 0.012230409955170954)","(-0.01200200300938435, 0.00010339657329207473)",
31,[1.7 0. ],[0.1 0. ],"(5.002844168194249, 15.006536959313426)","(0.10084467581197111, 0.41055269769899816)","(0.011797629777772874, 0.012163959280718275)","(-0.012003331669312875, 9.750644816035275e-05)",
32,[1.7 0. ],[0.1 0. ],"(5.00294480716817, 15.006959773476854)","(0.10063897392043111, 0.4228141634278768)","(0.011812325064317014, 0.012098665210498794)","(-0.012006030705456494, 9.215780404291427e-05)",
33,[1.7 0. ],[0.1 0. ],"(5.003045252436449, 15.007394778463297)","(0.10044526827929162, 0.43500498644241853)","(0.011827099353964648, 0.012034509537735917)","(-0.01200994437561723, 8.728423436001582e-05)",
34,[1.7 0. ],[0.1 0. ],"(5.003145514859707, 15.007841905243511)","(0.10026242325763904, 0.44712678021451446)","(0.011841960696317757, 0.011971472894055606)","(-0.012014940820740984, 8.282939570631966e-05)",
35,[1.7 0. ],[0.1 0. ],"(5.00324560430284, 15.008301086326016)","(0.1000894431332158, 0.45918108250427636)","(0.011856915446241869, 0.01190953507548319)","(-0.012020907622618827, 7.874520587279149e-05)",
36,[1.7 0. ],[0.1 0. ],"(5.003345529753798, 15.008772255688802)","(0.09992545095683884, 0.4711693627856324)","(0.011871968539667386, 0.011848675301591425)","(-0.012027748310623124, 7.499041192599926e-05)",
37,[1.7 0. ],[0.1 0. ],"(5.003445299424984, 15.009255348717302)","(0.0997696711858831, 0.4830930284991498)","(0.011887123719624552, 0.011788872422293286)","(-0.012035379590098698, 7.152944304419947e-05)",
38,[1.7 0. ],[0.1 0. ],"(5.003544920840299, 15.009750302147665)","(0.09962141531540897, 0.4949534303644873)","(0.011902383722710292, 0.01173010508330509)","(-0.01204372912517456, 6.833148452363246e-05)",
39,[1.7 0. ],[0.1 0. ],"(5.003644400910212, 15.010257054014598)","(0.09948006991294471, 0.5067518669323161)","(0.011917750433840439, 0.011672351858751775)","(-0.012052733751526849, 6.536972505570091e-05)",
40,[1.7 0. ],[0.1 0. ],"(5.0037437459968075, 15.010775543603115)","(0.0993450865952583, 0.5184895885161236)","(0.011933225015392223, 0.011615591357483555)","(-0.012062338025502868, 6.262074084028172e-05)",
41,[1.7 0. ],[0.1 0. ],"(5.003842961970393, 15.011305711403729)","(0.09921597358514765, 0.5301678006144475)","(0.011948808015523817, 0.011559802308240724)","(-0.012072493038496243, 6.006398857242723e-05)",
42,[1.7 0. ],[0.1 0. ],"(5.003942054258955, 15.01184749907064)","(0.09909228856217524, 0.5417876669112606)","(0.011964499459454372, 0.011504963627713829)","(-0.012083155442100214, 5.768138565755059e-05)",
43,[1.7 0. ],[0.1 0. ],"(5.004041027891534, 15.012400849382566)","(0.09897363257952939, 0.5533503119246319)","(0.01198029892671753, 0.011451054474710919)","(-0.012094286641900232, 5.5456960775041494e-05)",
44,[1.7 0. ],[0.1 0. ],"(5.0041398875363985, 15.012965706205925)","(0.09885964486434667, 0.5648568233601179)","(0.011996205616804125, 0.011398054292996536)","(-0.012105852127114288, 5.3376561520881196e-05)",
45,[1.7 0. ],[0.1 0. ],"(5.004238637534753, 15.013542014460139)","(0.0987499983540365, 0.5763082542146354)","(0.012012218405144165, 0.011345942844863385)","(-0.012117820910299663, 5.142760863644043e-05)",
46,[1.7 0. ],[0.1 0. ],"(5.004337281930602, 15.014129720084807)","(0.09864439584888099, 0.5877056246681351)","(0.01202833589101119, 0.01129470023710112)","(-0.01213016505680857, 4.9598888461241686e-05)",
47,[1.7 0. ],[0.1 0. ],"(5.0044358244972855, 15.0147287700086)","(0.0985425666830836, 0.5990499237936975)","(0.012044556438642256, 0.011244306940714027)","(-0.01214285928775596, 4.78803769161747e-05)",
48,[1.7 0. ],[0.1 0. ],"(5.00453426876112, 15.015339112119712)","(0.0984442638339699, 0.6103421111113276)","(0.012060878212634896, 0.011194743805489848)","(-0.012155880643607989, 4.6263089617021724e-05)",
49,[1.7 0. ],[0.1 0. ],"(5.004632618022523, 15.015960695237718)","(0.0983492614029968, 0.6215831180064344)","(0.012077299208497717, 0.011145992070323291)","(-0.012169208197869315, 4.473895375045776e-05)",
50,[1.7 0. ],[0.1 0. ],"(5.004730875374936, 15.016593469086748)","(0.0982573524136252, 0.6327738490305082)","(0.012093817279080267, 0.011098033370036217)","(-0.012182822812563431, 4.330069814347206e-05)",
51,[1.7 0. ],[0.1 0. ],"(5.004829043721816, 15.017237384269848)","(0.09816834688014203, 0.6439151830986879)","(0.012110430157488493, 0.011050849739308704)","(-0.012196706928432006, 4.1941758619406006e-05)",
52,[1.7 0. ],[0.1 0. ],"(5.004927125791926, 15.017892392244445)","(0.09808207010919853, 0.655007974596616)","(0.012127135476990212, 0.011004423614226617)","(-0.01221084438456499, 4.065619623925388e-05)",
53,[1.7 0. ],[0.1 0. ],"(5.005025124153128, 15.018558445298853)","(0.09799836120162375, 0.6660530544070818)","(0.012143930788338468, 0.010958737831870088)","(-0.012225220262316767, 3.9438626447650384e-05)",
54,[1.7 0. ],[0.1 0. ],"(5.005123041224855, 15.019235496529719)","(0.09791707172764547, 0.6770512308653995)","(0.012160813574866787, 0.010913775628289107)","(-0.01223982075059932, 3.8284157488146894e-05)",
55,[1.7 0. ],[0.1 0. ],"(5.005220879289407, 15.01992349982037)","(0.09783806455191293, 0.6880032906511768)","(0.012177781265667275, 0.010869520635166972)","(-0.012254633027849529, 3.718833670714321e-05)",
56,[1.7 0. ],[0.1 0. ],"(5.005318640502197, 15.020622409819993)","(0.09776121278973068, 0.698909999623051)","(0.012194831247095906, 0.010825956875402575)","(-0.012269645160803736, 3.614710362301659e-05)",
57,[1.7 0. ],[0.1 0. ],"(5.005416326901073, 15.021332181923595)","(0.09768639887602285, 0.7097721036020765)","(0.012211960872848253, 0.010783068757841538)","(-0.012284846012859564, 3.5156748771456724e-05)",
58,[1.7 0. ],[0.1 0. ],"(5.005513940414809, 15.022052772252705)","(0.09761351373601154, 0.7205903291086895)","(0.012229167472749472, 0.010740841071282326)","(-0.012300225169602528, 3.421387756824534e-05)",
59,[1.7 0. ],[0.1 0. ],"(5.005611482870848, 15.022784137636762)","(0.0975424560391585, 0.73136538405754)","(0.012246448360502092, 0.010699258977988263)","(-0.01231577286189759, 3.331537841283667e-05)",
60,[1.7 0. ],[0.1 0. ],"(5.005708956002386, 15.023526235595176)","(0.09747313153776299, 0.7420979584139412)","(0.012263800840369796, 0.01065830800666001)","(-0.012331479920703355, 3.245839464316212e-05)",
61,[1.7 0. ],[0.1 0. ],"(5.005806361454844, 15.024279024319991)","(0.09740545245742943, 0.7527887248152444)","(0.012281222213233254, 0.010617974045299624)","(-0.012347337691234429, 3.164029946663101e-05)",
62,[1.7 0. ],[0.1 0. ],"(5.005903700791823, 15.025042462659151)","(0.09733933697942826, 0.7634383391600107)","(0.012298709781479417, 0.010578243333387716)","(-0.012363338052014596, 3.085867422087379e-05)",
63,[1.7 0. ],[0.1 0. ],"(5.006000975500531, 15.025816510100318)","(0.09727470870889307, 0.7740474411676194)","(0.012316260854141874, 0.010539102454816453)","(-0.012379473230337617, 3.011128802117997e-05)",
64,[1.7 0. ],[0.1 0. ],"(5.006098186996864, 15.026601126755228)","(0.09721149633269734, 0.7846166549104571)","(0.012333872749559709, 0.010500538328748943)","(-0.012395736073591842, 2.939608179659028e-05)",
65,[1.7 0. ],[0.1 0. ],"(5.006195336629872, 15.027396273344548)","(0.09714963300866519, 0.7951465893210027)","(0.012351542801693177, 0.010462538204677909)","(-0.012412119329976467, 2.8711149383209504e-05)",
66,[1.7 0. ],[0.1 0. ],"(5.006292425686353, 15.028201911183224)","(0.09708905648038191, 0.8056378386750638)","(0.012369268356769368, 0.010425089648052902)","(-0.01242861716939557, 2.805473084104455e-05)",
67,[1.7 0. ],[0.1 0. ],"(5.006389455394021, 15.029018002166278)","(0.0970297076677557, 0.8160909830539577)","(0.012387046790416986, 0.010388180547162644)","(-0.012445221579562555, 2.742518359024798e-05)",
68,[1.7 0. ],[0.1 0. ],"(5.006486426926899, 15.029844508755064)","(0.09697153287861013, 0.8265065887847105)","(0.012404875476288558, 0.01035179907124287)","(-0.012461930746486832, 2.6821008688070265e-05)",
69,[1.7 0. ],[0.1 0. ],"(5.006583341404507, 15.030681393963928)","(0.09691447760841186, 0.8368852088646415)","(0.012422751867587165, 0.0103159337430349)","(-0.012478728918495514, 2.6240753151099883e-05)",
70,[1.7 0. ],[0.1 0. ],"(5.006680199905065, 15.031528621347288)","(0.09685850055750352, 0.8472273833608274)","(0.012440673307306548, 0.010280573238528832)","(-0.012495635393048814, 2.5683209241288668e-05)",
71,[1.7 0. ],[0.1 0. ],"(5.006777003443537, 15.032386154987096)","(0.09680353847176124, 0.8575336398085974)","(0.012458637498737995, 0.01024570684976969)","(-0.012512582987955602, 2.5146901582353055e-05)",
72,[1.7 0. ],[0.1 0. ],"(5.006873753036519, 15.033253959480655)","(0.09674959298254363, 0.8678044935599495)","(0.01247664133752941, 0.010211323308830064)","(-0.012529724520264131, 2.4631323787018283e-05)",
73,[1.7 0. ],[0.1 0. ],"(5.006970449546319, 15.034131999928848)","(0.0966965097998089, 0.8780404481925665)","(0.012494683877114356, 0.010177413733926699)","(-0.012546646610321326, 2.4133812140361154e-05)",
74,[1.7 0. ],[0.1 0. ],"(5.007067094093386, 15.035020241924586)","(0.09664454706660193, 0.8882419957386336)","(0.012512758687569974, 0.010143964032964851)","(-0.012564419716797495, 2.3657495275210154e-05)",
